ANO_EXERCICIO,BAIRRO,TIPO_USO,AREA_TERRENO,AREA_CONSTRUIDA,VALOR_VENAL_IMOVEL,VALOR_M2
2025,JARDIM ITU,Exclusivamente Residencial,6.27,17.0,46561.44,2738.91
2025,JARDIM ITU,Exclusivamente Residencial,10.33,28.0,76851.34,2744.69
2025,JARDIM ITU,Exclusivamente Residencial,12.17,33.0,90869.7,2753.63
2025,JARDIM ITU,Exclusivamente Residencial,11.8,32.0,87240.29,2726.26
2025,JARDIM ITU,Exclusivamente Residencial,39.84,108.0,297016.41,2750.15
2025,JARDIM ITU,Exclusivamente Residencial,39.84,108.0,297016.41,2750.15
2025,JARDIM ITU,Exclusivamente Residencial,80.04,217.0,599038.46,2760.55
2025,JARDIM ITU,Nï¿½o Exclusivamente Residencial,196.05,249.0,576856.48,2316.69
2025,JARDIM ITU,Exclusivamente Residencial,598.08,636.24,2475847.59,3891.37
2025,LOMBA PINHEIRO,Exclusivamente Residencial,313.0,48.0,105296.88,2193.68
2025,LOMBA PINHEIRO,Nï¿½o Exclusivamente Residencial,300.0,204.07,266453.88,1305.7
2025,SAO SEBASTIAO,Exclusivamente Residencial,306.0,176.0,570845.8,3243.44
2025,SAO SEBASTIAO,Exclusivamente Residencial,57.52,118.0,181509.6,1538.22
2025,SAO SEBASTIAO,Exclusivamente Residencial,57.03,117.0,180436.8,1542.19
2025,SAO SEBASTIAO,Exclusivamente Residencial,57.52,118.0,181509.6,1538.22
2025,SAO SEBASTIAO,Exclusivamente Residencial,46.79,96.0,148101.0,1542.72
2025,SAO SEBASTIAO,Exclusivamente Residencial,45.33,93.0,142921.2,1536.79
2025,SAO SEBASTIAO,Exclusivamente Residencial,57.03,117.0,180436.8,1542.19
2025,SAO SEBASTIAO,Exclusivamente Residencial,57.52,118.0,181509.6,1538.22
2025,SAO SEBASTIAO,Exclusivamente Residencial,46.79,96.0,148101.0,1542.72
2025,JARDIM ITU,Exclusivamente Residencial,360.0,326.0,1145521.53,3513.87
2025,JARDIM ITU,Exclusivamente Residencial,360.0,381.8,1610782.02,4218.92
2025,JARDIM ITU,Exclusivamente Residencial,360.0,371.0,1279806.95,3449.61
2025,JARDIM ITU,Exclusivamente Residencial,390.0,435.72,1556138.2,3571.42
2025,JARDIM ITU,Exclusivamente Residencial,43.66,129.02,429232.88,3326.87
2025,JARDIM ITU,Exclusivamente Residencial,43.86,129.61,429232.88,3311.73
2025,JARDIM ITU,Exclusivamente Residencial,43.49,128.51,426389.43,3317.95
2025,JARDIM ITU,Exclusivamente Residencial,47.02,138.93,460631.17,3315.56
